id,machine,day,temperature,vibration,load,regime,failure,repair_after,probability
78,6,6,60.459,1.585,0.802,loaded,0,none,0.238814
79,6,7,59.239,1.375,0.932,loaded,0,none,0.210913
80,6,8,55.082,1.592,0.254,idle,0,none,0.141007
81,6,9,60.194,1.463,0.357,idle,0,none,0.132775
82,6,10,67.496,1.892,0.912,loaded,0,none,0.361856
83,6,11,65.733,1.935,0.782,loaded,0,none,0.340904
84,7,0,64.159,1.912,0.719,loaded,0,none,0.316579
85,7,1,63.089,2.272,0.800,loaded,1,replaced,0.466925
86,7,2,59.498,1.942,0.290,idle,0,none,0.224745
87,7,3,59.735,2.421,0.176,idle,0,none,0.341186
88,7,4,62.611,2.579,0.726,loaded,1,replaced,0.559625
89,7,5,,3.085,0.708,loaded,1,replaced,0.726611
90,7,6,,2.519,0.189,idle,0,none,0.378594
91,7,7,65.090,3.181,0.439,idle,0,none,0.689629
92,7,8,69.149,3.461,0.801,loaded,1,replaced,0.839282
93,7,9,73.443,,0.731,loaded,1,replaced,0.707161
94,7,10,,3.218,0.298,idle,1,replaced,0.664879
95,7,11,72.922,3.169,0.403,idle,0,none,0.676104
96,8,0,53.353,1.187,0.253,idle,0,none,0.081939
97,8,1,52.913,1.497,0.290,idle,0,none,0.129284
98,8,2,59.991,1.670,0.790,loaded,1,replaced,0.259845
99,8,3,64.216,,0.802,loaded,0,none,0.340961
100,8,4,56.548,1.483,0.152,idle,0,none,0.109720
101,8,5,56.493,1.893,0.209,idle,0,none,0.196268
102,8,6,67.506,2.200,0.873,loaded,1,replaced,0.462203
103,8,7,66.157,2.150,0.805,loaded,0,none,0.423285
104,8,8,58.744,2.015,0.143,idle,1,replaced,0.213155
105,8,9,62.137,2.280,0.212,idle,0,none,0.304400
106,8,10,,3.304,0.886,loaded,0,none,0.820409
107,8,11,72.470,3.304,0.869,loaded,1,replaced,0.817421
108,9,0,61.537,1.895,0.856,loaded,0,none,0.347325
109,9,1,64.882,2.288,0.718,loaded,0,none,0.448841
110,9,2,61.643,1.867,0.366,idle,0,none,0.220948
111,9,3,,2.490,0.240,idle,1,replaced,0.382744
112,9,4,69.885,2.567,0.928,loaded,1,replaced,0.614165
113,9,5,,2.595,0.766,loaded,1,replaced,0.577322
114,9,6,61.977,2.237,0.269,idle,0,none,0.305150
115,9,7,63.718,2.485,0.240,idle,1,replaced,0.381173
116,9,8,64.022,2.682,0.692,loaded,1,replaced,0.587315
117,9,9,76.367,2.957,0.874,loaded,1,replaced,0.727816
118,9,10,,2.819,0.314,idle,1,replaced,0.526480
119,9,11,69.350,2.925,0.319,idle,1,replaced,0.567254
120,10,0,,2.755,0.355,idle,1,replaced,0.514551
121,10,1,63.750,2.667,0.193,idle,0,none,0.433451
122,10,2,65.737,3.122,0.695,loaded,1,replaced,0.734498
123,10,3,72.145,3.145,0.905,loaded,1,replaced,0.786562
124,10,4,61.729,2.817,0.206,idle,1,replaced,0.493349
125,10,5,,2.937,0.211,idle,1,replaced,0.539836
126,10,6,68.211,3.413,0.731,loaded,1,replaced,0.817230
127,10,7,,3.518,0.813,loaded,1,replaced,0.852412
128,10,8,69.498,,0.334,idle,0,none,0.757668
129,10,9,69.724,3.356,0.221,idle,0,none,0.689897
130,10,10,,4.297,0.671,loaded,1,replaced,0.939946
131,10,11,83.048,4.473,0.943,loaded,1,replaced,0.965810
132,11,0,,3.178,0.923,loaded,1,replaced,0.798006
133,11,1,68.499,3.744,0.930,loaded,0,none,0.903096
134,11,2,65.108,,0.325,idle,1,replaced,0.731709
135,11,3,63.924,3.563,0.194,idle,0,none,0.746087
136,11,4,72.664,4.022,0.873,loaded,0,none,0.929610
137,11,5,,3.912,0.952,loaded,1,replaced,0.924918
138,11,6,68.079,3.317,0.430,idle,1,replaced,0.729397
139,11,7,68.446,3.435,0.377,idle,1,replaced,0.751360
140,11,8,75.716,4.445,0.934,loaded,1,replaced,0.964003
141,11,9,78.947,3.927,0.786,loaded,1,replaced,0.911574
142,11,10,,4.376,0.357,idle,1,replaced,0.923677
143,11,11,,3.993,0.217,idle,1,replaced,0.851976
144,12,0,53.353,1.295,0.368,idle,0,none,0.107555
145,12,1,53.356,1.412,0.215,idle,0,none,0.106810
146,12,2,56.924,1.281,0.757,loaded,0,none,0.158373
147,12,3,58.958,2.110,0.890,loaded,0,none,0.433439
148,12,4,,1.701,0.285,idle,0,none,0.167200
149,12,5,53.356,1.714,0.231,idle,0,none,0.161044
150,12,6,64.553,1.871,0.798,loaded,0,none,0.323852
151,12,7,65.646,2.358,0.880,loaded,0,none,0.523256
152,12,8,60.177,1.781,0.363,idle,1,replaced,0.199075
153,12,9,63.935,2.249,0.188,idle,1,replaced,0.288719
154,12,10,,2.119,0.798,loaded,1,replaced,0.409947
155,12,11,68.464,2.258,0.654,loaded,1,replaced,0.418770
156,13,0,62.737,1.350,0.924,loaded,0,none,0.203188
157,13,1,61.380,1.431,0.951,loaded,0,none,0.229253
158,13,2,56.861,0.876,0.360,idle,0,none,0.059862
159,13,3,52.859,1.246,0.182,idle,0,none,0.082169
160,13,4,58.972,1.766,0.803,loaded,0,none,0.291848
161,13,5,,2.210,0.844,loaded,1,replaced,0.456924
162,13,6,58.971,1.591,0.394,idle,0,none,0.162271
163,13,7,55.247,,0.176,idle,0,none,0.124308
164,13,8,,2.170,0.845,loaded,0,none,0.442729
165,13,9,69.985,2.326,0.861,loaded,0,none,0.505484
166,13,10,63.007,1.964,0.253,idle,0,none,0.222675
167,13,11,66.852,1.990,0.432,idle,0,none,0.269726
168,14,0,52.081,0.758,0.344,idle,0,none,0.049721
169,14,1,,,0.175,idle,0,none,0.022073
170,14,2,54.544,1.044,0.768,loaded,0,none,0.117830
171,14,3,59.418,0.849,0.799,loaded,0,none,0.093805
172,14,4,55.398,1.076,0.410,idle,0,none,0.083670
173,14,5,51.386,0.955,0.283,idle,0,none,0.061348
174,14,6,57.244,1.540,0.704,loaded,1,replaced,0.206629
175,14,7,58.456,1.812,0.786,loaded,0,none,0.301752
176,14,8,56.352,1.918,0.458,idle,1,replaced,0.254750
177,14,9,56.490,1.269,0.172,idle,0,none,0.083932
178,14,10,67.261,1.664,0.696,loaded,0,none,0.236983
179,14,11,68.736,2.208,0.906,loaded,1,replaced,0.474982
180,15,0,66.645,2.817,0.810,loaded,0,none,0.667623
181,15,1,61.802,2.280,0.646,loaded,0,none,0.424265
182,15,2,58.761,2.375,0.203,idle,0,none,0.333013
183,15,3,63.624,2.903,0.306,idle,1,replaced,0.555028
184,15,4,68.533,3.271,0.837,loaded,1,replaced,0.803940
185,15,5,,3.105,0.742,loaded,0,none,0.740419
186,15,6,61.830,2.756,0.191,idle,1,replaced,0.465891
187,15,7,64.166,2.697,0.284,idle,0,none,0.471546
188,15,8,69.122,3.151,0.854,loaded,1,replaced,0.777394
189,15,9,74.565,3.811,0.851,loaded,1,replaced,0.903568
190,15,10,71.828,3.017,0.347,idle,0,none,0.608891
191,15,11,75.270,3.747,0.415,idle,1,replaced,0.834625
192,16,0,,2.164,0.270,idle,1,replaced,0.282978
193,16,1,58.540,1.888,0.302,idle,0,none,0.213273
194,16,2,69.240,2.745,0.946,loaded,1,replaced,0.679507
195,16,3,69.284,2.445,0.876,loaded,1,replaced,0.554206
196,16,4,60.300,2.677,0.414,idle,0,none,0.503136
197,16,5,62.871,2.392,0.445,idle,0,none,0.406413
198,16,6,71.290,,0.858,loaded,1,replaced,0.751604
199,16,7,69.828,3.071,0.746,loaded,1,replaced,0.731464
200,16,8,65.771,3.076,0.281,idle,0,none,0.611042
201,16,9,,2.937,0.402,idle,0,none,0.595970
202,16,10,,3.586,0.660,loaded,1,replaced,0.841807
203,16,11,73.136,3.978,0.748,loaded,1,replaced,0.914177
204,17,0,,,0.777,loaded,1,replaced,0.775647
205,17,1,68.434,3.469,0.958,loaded,1,replaced,0.864492
206,17,2,,3.229,0.359,idle,0,none,0.684553
207,17,3,61.424,2.642,0.172,idle,0,none,0.418248
208,17,4,68.889,3.864,0.943,loaded,1,replaced,0.918961
209,17,5,,3.716,0.930,loaded,1,replaced,0.899401
210,17,6,67.718,3.076,0.378,idle,1,replaced,0.638296
211,17,7,64.009,3.105,0.280,idle,0,none,0.620813
212,17,8,76.415,3.779,0.958,loaded,1,replaced,0.910340
213,17,9,76.444,4.045,0.650,loaded,1,replaced,0.912808
214,17,10,,4.058,0.306,idle,1,replaced,0.875909
215,17,11,73.304,3.655,0.264,idle,0,none,0.785673
216,18,0,53.055,1.300,0.224,idle,0,none,0.092753
217,18,1,55.183,0.893,0.417,idle,0,none,0.065381
218,18,2,62.204,1.844,0.957,loaded,0,none,0.357386
219,18,3,59.368,1.417,0.863,loaded,0,none,0.207549
220,18,4,57.286,1.367,0.424,idle,0,none,0.125528
221,18,5,56.831,1.552,0.277,idle,0,none,0.137164
222,18,6,,2.164,0.866,loaded,1,replaced,0.446439
223,18,7,63.340,2.251,0.950,loaded,1,replaced,0.504095
224,18,8,54.258,1.853,0.157,idle,0,none,0.177750
225,18,9,70.526,2.568,0.820,turbo,1,replaced,0.583334
226,18,10,,2.353,0.822,turbo,1,replaced,0.504020
227,18,11,72.685,,0.895,turbo,1,replaced,0.601971
228,19,0,61.745,2.060,0.902,loaded,0,none,0.418963
229,19,1,63.638,2.017,0.644,loaded,0,none,0.331304
230,19,2,54.656,2.022,0.152,idle,0,none,0.216620
231,19,3,60.001,2.101,0.455,idle,0,none,0.309390
232,19,4,68.270,2.655,0.881,loaded,0,none,0.631680
233,19,5,,,0.843,loaded,1,replaced,0.669380
234,19,6,63.009,2.164,0.413,idle,0,none,0.318965
235,19,7,63.619,2.835,0.432,idle,0,none,0.567020
236,19,8,67.494,2.532,0.822,loaded,1,replaced,0.570383
237,19,9,76.735,2.711,0.928,loaded,1,replaced,0.663759
238,19,10,,3.019,0.316,idle,1,replaced,0.600342
239,19,11,66.309,2.891,0.293,idle,0,none,0.547119
240,20,0,54.904,0.739,0.455,idle,0,none,0.054951
241,20,1,50.492,0.681,0.232,idle,0,none,0.039153
242,20,2,58.213,1.130,0.731,loaded,0,none,0.126980
243,20,3,,1.152,0.739,loaded,0,none,0.131804
244,20,4,54.768,0.810,0.338,idle,0,none,0.053197
245,20,5,54.509,1.203,0.215,idle,0,none,0.080354
246,20,6,62.666,1.732,0.956,loaded,0,none,0.319860
247,20,7,61.391,1.911,0.751,loaded,0,none,0.324610
248,20,8,54.280,1.165,0.372,idle,0,none,0.090620
249,20,9,66.626,1.631,0.844,turbo,0,none,0.260914
250,20,10,70.006,1.736,0.921,turbo,0,none,0.311942
251,20,11,66.930,2.042,0.872,turbo,1,replaced,0.403714
252,21,0,64.015,2.521,0.906,loaded,0,none,0.590867
253,21,1,67.408,2.836,0.739,loaded,1,replaced,0.654800
254,21,2,57.794,2.183,0.246,idle,0,none,0.282882
255,21,3,60.280,2.913,0.348,idle,1,replaced,0.571506
256,21,4,72.750,3.157,0.941,loaded,1,replaced,0.796497
257,21,5,,3.096,0.895,loaded,1,replaced,0.771824
258,21,6,64.065,2.662,0.246,idle,0,none,0.447381
259,21,7,,2.658,0.146,idle,1,replaced,0.416116
260,21,8,71.367,3.956,0.866,loaded,1,replaced,0.922185
261,21,9,74.019,3.854,0.660,loaded,1,replaced,0.888258
262,21,10,68.180,,0.243,idle,0,none,0.613518
263,21,11,72.209,3.328,0.340,idle,0,none,0.710903
264,22,0,,1.375,0.451,idle,0,none,0.130493
265,22,1,55.137,1.462,0.439,idle,0,none,0.144435
266,22,2,59.081,2.182,0.778,loaded,1,replaced,0.427326
267,22,3,63.107,1.844,0.856,loaded,0,none,0.330304
268,22,4,55.766,,0.310,idle,0,none,0.249246
269,22,5,57.592,1.578,0.170,idle,0,none,0.126888
270,22,6,63.648,2.087,0.865,loaded,0,none,0.417923
271,22,7,65.519,2.123,0.867,loaded,1,replaced,0.431640
272,22,8,59.972,2.232,0.253,idle,0,none,0.299668
273,22,9,73.260,2.887,0.876,turbo,1,replaced,0.707275
274,22,10,,2.486,0.755,turbo,1,replaced,0.533503
275,22,11,,2.395,0.647,turbo,1,replaced,0.467246
276,23,0,,2.215,0.790,loaded,1,replaced,0.442692
277,23,1,60.250,2.377,0.762,loaded,0,none,0.494993
278,23,2,56.857,2.325,0.154,idle,1,replaced,0.304168
279,23,3,58.743,2.344,0.298,idle,0,none,0.348486
280,23,4,,2.411,0.856,loaded,1,replaced,0.535697
281,23,5,,2.313,0.677,loaded,1,replaced,0.445737
282,23,6,62.634,2.346,0.388,idle,1,replaced,0.373901
283,23,7,63.328,2.317,0.304,idle,0,none,0.340687
284,23,8,67.690,3.151,0.642,loaded,0,none,0.730351
285,23,9,78.095,3.411,0.945,loaded,1,replaced,0.852057
286,23,10,,2.691,0.326,idle,1,replaced,0.481846
287,23,11,66.752,3.347,0.371,idle,0,none,0.724330
